Source,Target,Weight
war,ministry,2436
war,refugee,2436
war,tracker,2772
war,chrome,2436
war,good,2559
war,alternative,2436
war,translate,2436
war,obey,2436
war,request,2436
war,refrain,2436
war,troop,2436
war,hatred,1176
war,group,1176
war,special,756
war,one,1283
war,year,867
war,ago,252
war,show,252
war,army,504
war,capital,252
war,never,504
war,fell,504
war,infamous,252
war,line,252
war,first,375
war,find,252
war,nothing,252
war,gore,588
war,devastate,375
war,besiege,252
war,saw,375
war,hell,252
war,call,252
war,home,252
war,horror,252
war,well,908
war,overlook,252
war,battle,252
war,li,252
war,since,623
war,break,459
war,violence,336
war,anyone,336
war,provide,705
war,context,336
war,justify,336
war,side,336
war,conflict,500
war,knowledge,336
war,temporarily,336
war,disable,336
war,direct,336
war,self,336
war,text,336
war,relate,377
war,mere,336
war,announcement,336
war,diplomatic,336
war,stance,336
war,mind,336
war,swift,672
war,offer,336
war,translation,336
war,l,210
war,limited,252
war,bravery,246
war,full,451
war,scale,451
war,force,123
war,million,492
war,flee,123
war,reduce,123
war,entire,123
war,rubble,123
war,apartment,123
war,maternity,123
war,aviation,123
war,artillery,164
war,multiple,123
war,ground,123
war,spirit,123
war,freedom,123
war,suffering,123
war,legendary,123
war,impressive,123
war,unity,123
war,global,246
war,community,246
war,thank,246
war,support,1312
war,stand,123
war,save,123
war,forever,123
war,grateful,123
war,ongoing,246
war,commitment,123
war,fully,123
war,continue,369
war,work,492
war,around,123
war,clock,123
war,focus,123
war,mission,123
war,fight,123
war,aid,574
war,suffer,123
war,hope,123
war,number,123
war,priority,123
war,individual,123
war,promise,123
war,everything,123
war,power,123
war,brave,123
war,medical,123
war,treat,123
war,possible,246
war,without,123
war,generosity,123
war,urgent,123
war,greatly,123
war,learn,123
war,white,369
war,house,369
war,president,1025
war,north,164
war,leader,41
war,kim,41
war,un,41
war,potential,82
war,collaboration,41
war,two,41
war,minister,41
war,increase,41
war,sale,82
war,munition,41
war,take,164
war,place,41
war,security,41
war,council,41
war,spokesman,41
war,state,41
war,seek,41
war,bolster,41
war,industrial,41
war,base,369
war,correspondence,41
war,surface,41
war,level,41
war,administration,41
war,repeatedly,41
war,reliance,41
war,arm,82
war,allegation,41
war,involve,41
war,previously,41
war,important,41
war,note,41
war,whilst,41
war,public,164
war,evidence,41
war,actual,41
war,reveal,41
war,western,41
war,story,41
war,report,615
war,us,123
war,tax,246
war,among,246
war,school,123
war,economics,123
war,last,123
war,high,246
war,revenue,369
war,indirectly,123
war,finance,123
war,human,246
war,associate,123
war,despite,123
war,billion,369
war,german,123
war,second,123
war,pay,123
war,alcohol,123
war,tobacco,123
war,fast,123
war,move,123
war,consumer,123
war,significant,123
war,union,123
war,top,123
war,action,123
war,cut,123
war,indirect,123
war,establishment,123
war,clearer,123
war,business,123
war,conduct,123
war,imposition,123
war,contract,123
war,remain,123
war,operate,123
war,sever,123
war,clearly,123
war,define,123
war,essential,123
war,demonstrate,123
war,ahead,123
war,day,123
war,video,41
war,big,41
war,missile,41
war,start,41
war,former,328
war,trump,984
war,claim,328
war,could,656
war,end,1640
war,within,328
war,sole,328
war,desire,656
war,bring,656
war,beautiful,328
war,tell,328
war,week,328
war,translator,328
war,real,328
war,life,328
war,experience,328
war,time,656
war,assume,328
war,disposal,328
war,must,328
war,talk,328
war,cost,656
war,give,656
war,think,328
war,way,328
war,five,328
war,agree,656
war,face,328
war,criticism,328
war,praise,328
war,issue,328
war,united,328
war,enough,328
war,win,328
war,sufficient,328
also,know,3612
also,invasion,10918
also,please,11172
also,read,3612
also,extend,3948
also,news,14448
also,guardian,4074
also,associated,4074
also,press,4074
also,al,3612
also,financial,2435
also,times,2394
also,section,1932
also,get,7308
also,date,7224
also,information,14448
also,r,17724
also,live,7224
also,thread,7266
also,situation,11298
also,extension,10836
also,extended,3276
also,curb,3612
also,hate,7182
also,speech,7140
also,already,1932
also,ban,5544
also,remind,1932
also,population,1932
also,actively,1932
also,help,1973
also,russia,6334
also,calling,3612
also,kill,3612
also,discretion,3276
also,remove,10500
also,egregious,3276
also,disrespect,3276
also,point,4032
also,make,3442
also,international,7265
also,law,3612
also,apply,3948
also,unverified,3612
also,kind,7224
also,unless,7224
also,reputable,3612
also,government,10541
also,absolutely,3612
also,justification,3612
also,addition,3612
also,ask,6888
also,add,3654
also,tag,3864
also,go,8316
also,link,22344
also,graphic,3612
also,footage,6888
also,anything,3612
also,consider,7266
also,upsetting,3612
also,combat,3276
also,dead,3276
also,people,6716
also,submission,3612
also,front,6593
also,page,10836
also,status,3612
also,major,10836
also,e,3948
also,g,3948
also,city,7686
also,x,3654
also,still,4073
also,hold,3612
also,would,11970
also,attack,3612
also,dot,3276
also,may,3612
also,even,3990
also,approve,5880
also,site,14784
also,like,3696
also,tass,3612
also,archive,6888
also,similar,3612
also,u,5711
also,script,1932
also,notify,3612
also,moderation,3612
also,team,4535
also,explain,3612
also,person,3612
also,organization,6552
also,promote,3276
also,new,6760
also,non,3317
also,profit,3358
also,love,3317
also,pour,3276
also,civilian,3276
also,limit,3276
also,links,3276
also,prevent,3276
also,scam,3276
also,promotion,3276
also,project,3317
also,official,3276
also,meta,3612
also,previous,3864
also,feedback,7224
also,send,3612
also,via,7224
also,want,3612
also,donate,3947
also,check,3653
also,account,3612
also,national,3612
also,bank,3612
also,set,3696
also,available,3612
also,border,3612
also,visit,3612
also,today,3736
also,turn,3864
also,hub,3612
also,every,3612
also,foreign,3653
also,citizen,3612
also,able,3653
also,necessary,3612
also,act,3612
also,critical,3653
also,bomb,3612
also,shelter,3612
also,leave,3695
also,country,4284
also,evacuate,3612
also,dangerous,3612
also,region,3612
also,interest,3612
also,map,3612
also,institute,3612
also,reliable,3612
also,medium,7224
also,coalition,3612
also,fact,3612
also,surround,3612
also,confuse,3612
also,source,3612
also,fake,3612
also,defense,3654
also,ministry,3612
also,refugee,3612
also,tracker,3948
also,chrome,3612
also,good,3737
also,alternative,3612
also,translate,3612
also,obey,3612
also,request,3612
also,refrain,3612
also,troop,3612
also,hatred,1680
also,group,1722
also,special,1427
also,one,1380
also,year,835
also,ago,462
also,show,504
also,army,924
also,capital,462
also,never,924
also,fell,924
also,infamous,462
also,line,462
also,first,713
also,find,462
also,nothing,504
also,gore,798
also,devastate,503
also,besiege,462
also,saw,503
also,hell,504
also,call,462
also,home,462
also,horror,462
also,well,546
also,overlook,462
also,battle,462
also,li,462
also,since,418
also,break,377
also,violence,336
also,anyone,336
also,provide,541
also,context,336
also,justify,336
also,side,336
also,conflict,377
also,knowledge,336
also,temporarily,336
also,disable,336
also,direct,336
also,self,336
also,text,336
also,relate,336
also,mere,336
also,announcement,336
also,diplomatic,336
also,stance,336
also,mind,336
also,swift,672
also,offer,336
also,translation,336
also,l,336
also,limited,336
also,hope,209
also,except,42
also,miss,42
also,improve,42
also,lottery,84
also,odds,84
also,let,504
also,win,420
also,learn,83
also,rival,42
also,back,252
also,generational,42
also,guess,294
also,final,294
also,score,336
also,indicate,294
also,assume,294
also,pick,378
also,scorer,588
also,game,504
also,winning,294
also,goal,419
also,time,252
also,penalty,84
also,either,336
also,within,84
also,minute,84
also,format,42
also,period,42
also,user,252
also,mar,252
also,correct,504
also,season,546
also,disastrous,252
also,wealth,252
also,great,294
also,ancient,252
also,mariner,252
also,something,252
also,give,294
also,wrong,252
also,value,252
also,sure,252
also,insane,252
also,case,42
also,need,84
also,change,42
also,future,83
also,move,167
also,forward,126
also,another,84
also,comeback,42
also,see,84
also,overcome,42
also,deficit,42
also,fun,42
also,really,84
also,solid,42
also,remember,42
also,without,83
also,important,84
also,overall,42
also,seem,42
also,genuine,42
also,potential,42
also,especially,42
also,distinct,42
also,advantage,42
also,regard,42
also,bottom,84
also,sort,42
also,earth,42
also,north,42
also,western,42
also,road,42
also,trip,84
also,positive,42
also,west,84
also,coast,84
also,zone,42
also,stupid,42
also,last,83
also,month,42
also,luck,42
also,everyone,166
also,type,42
also,ie,42
also,board,42
also,many,84
also,men,42
also,multiple,83
also,happen,42
also,answer,42
also,jack,42
also,happy,42
also,significantly,42
also,decade,42
also,far,42
also,hatty,42
also,way,83
also,ring,42
also,match,42
also,high,165
also,use,42
also,edit,84
also,holy,42
also,poor,42
also,buffalo,126
also,likely,42
also,head,42
also,keep,126
also,lose,42
also,come,125
also,together,42
also,tonight,84
also,life,42
also,much,124
also,big,84
also,sport,42
also,slate,42
also,foot,42
also,start,42
also,total,126
also,combine,168
also,garnet,42
also,dowd,42
also,wonder,42
also,healthy,42
also,whole,42
also,right,42
also,decision,42
also,try,84
also,best,42
also,injury,42
also,disaster,42
also,hopefully,42
also,success,42
also,ice,42
also,hard,42
also,entirely,42
also,reach,83
also,sweep,42
also,weirdly,42
also,race,42
also,pull,42
also,sadly,42
also,crash,42
also,burn,42
also,end,84
also,chance,84
also,top,83
also,draft,84
also,bad,42
also,fear,42
also,middle,42
also,ist,42
also,stick,42
also,outside,126
also,stretch,42
also,say,42
also,puck,42
also,drop,42
also,everything,83
also,reason,42
also,ana,42
also,combined,42
also,place,42
also,bummer,42
also,loss,42
also,hugely,42
also,always,42
also,forever,124
also,col,84
also,losing,42
also,pit,42
also,look,42
also,picture,42
also,bravery,82
also,full,41
also,scale,41
also,force,41
also,million,164
also,flee,41
also,reduce,41
also,entire,41
also,rubble,41
also,apartment,41
also,maternity,41
also,aviation,41
also,artillery,41
also,ground,41
also,spirit,41
also,freedom,41
also,suffering,41
also,legendary,41
also,impressive,41
also,unity,41
also,global,82
also,community,82
also,thank,328
also,support,533
also,stand,41
also,save,41
also,grateful,123
also,ongoing,205
also,commitment,41
also,fully,41
also,continue,123
also,work,205
also,around,41
also,clock,41
also,focus,41
also,mission,41
also,fight,41
also,aid,82
also,suffer,41
also,number,41
also,priority,41
also,individual,41
also,promise,41
also,power,41
also,brave,41
also,medical,41
also,treat,41
also,possible,82
also,generosity,123
also,urgent,41
also,greatly,41
also,raise,82
also,fund,82
also,sew,123
also,thermal,164
also,thanks,41
also,kindness,41
also,batch,82
also,quality,41
also,clothing,41
also,workplace,41
also,production,41
also,lot,41
also,care,41
also,stay,41
also,tuned,41
also,second,82
also,previously,41
also,distribute,41
also,liberty,41
also,foundation,41
also,almost,41
also,food,41
also,sale,82
also,merchandise,41
also,allan,82
also,used,41
also,rehabilitation,41
also,therapy,41
also,opportunity,41
also,amazing,41
also,staff,41
also,effort,41
also,fantastic,41
also,gift,41
also,generous,41
also,key,41
also,standing,41
also,wine,41
also,report,205
also,us,41
also,tax,82
also,among,82
also,school,41
also,economics,41
also,revenue,123
also,indirectly,41
also,finance,41
also,human,82
also,associate,41
also,despite,41
also,billion,123
also,german,41
also,pay,41
also,alcohol,41
also,tobacco,41
also,fast,41
also,consumer,41
also,significant,41
also,union,41
also,take,41
also,action,41
also,cut,41
also,indirect,41
also,establishment,41
also,clearer,41
also,business,41
also,conduct,41
also,imposition,41
also,contract,41
also,remain,41
also,operate,41
also,sever,41
also,clearly,41
also,define,41
also,essential,41
also,demonstrate,41
also,public,41
also,ahead,41
also,day,41
know,invasion,1260
know,please,1512
know,read,420
know,extend,462
know,news,1680
know,guardian,462
know,associated,462
know,press,462
know,al,420
know,financial,252
know,times,252
know,section,210
know,get,840
know,date,840
know,information,1680
know,r,2058
know,live,840
know,thread,882
know,situation,1302
know,extension,1260
know,extended,378
know,curb,420
know,hate,798
know,speech,798
know,already,210
know,ban,630
know,remind,210
know,population,210
know,actively,210
know,help,210
know,russia,672
know,calling,420
know,kill,420
know,discretion,378
know,remove,1218
know,egregious,378
know,disrespect,378
know,point,924
know,make,462
know,international,840
know,law,420
know,apply,462
know,unverified,420
know,kind,840
know,unless,840
know,reputable,420
